# ----------------------------------------
# OTexts.org
# Overview
# 20180101-20220410
# ----------------------------------------

Day Index,Page Views
04/12/2020,"25,367"
05/12/2020,"18,112"
06/12/2020,"15,968"
07/12/2020,"24,513"
08/12/2020,"29,793"
09/12/2020,"28,434"
10/12/2020,"26,762"
11/12/2020,"28,269"
12/12/2020,"21,214"
13/12/2020,"20,038"
14/12/2020,"24,272"
15/12/2020,"27,299"
16/12/2020,"29,167"
17/12/2020,"28,028"
18/12/2020,"25,585"
19/12/2020,"18,605"
20/12/2020,"13,915"
21/12/2020,"19,804"
22/12/2020,"22,999"
23/12/2020,"21,604"
24/12/2020,"18,933"
25/12/2020,"13,294"
26/12/2020,"11,870"
27/12/2020,"15,974"
28/12/2020,"17,930"
29/12/2020,"22,063"
30/12/2020,"21,763"
31/12/2020,"16,617"
01/01/2021,"10,031"
02/01/2021,"12,603"
03/01/2021,"16,175"
04/01/2021,"19,637"
05/01/2021,"23,234"
06/01/2021,"24,961"
07/01/2021,"24,432"
08/01/2021,"24,076"
09/01/2021,"17,686"
10/01/2021,"17,232"
11/01/2021,"23,101"
12/01/2021,"26,635"
13/01/2021,"25,448"
14/01/2021,"27,237"
15/01/2021,"26,448"
16/01/2021,"19,405"
17/01/2021,"17,239"
18/01/2021,"25,119"
19/01/2021,"28,344"
20/01/2021,"28,847"
21/01/2021,"29,953"
22/01/2021,"28,276"
23/01/2021,"18,089"
24/01/2021,"16,516"
25/01/2021,"24,963"
26/01/2021,"27,985"
27/01/2021,"28,878"
28/01/2021,"27,609"
29/01/2021,"26,097"
30/01/2021,"19,184"
31/01/2021,"17,460"
01/02/2021,"23,782"
02/02/2021,"29,226"
03/02/2021,"31,719"
04/02/2021,"29,427"
05/02/2021,"28,041"
06/02/2021,"23,378"
07/02/2021,"21,414"
08/02/2021,"29,356"
09/02/2021,"32,806"
10/02/2021,"32,267"
11/02/2021,"29,112"
12/02/2021,"28,505"
13/02/2021,"23,447"
14/02/2021,"18,565"
15/02/2021,"27,288"
16/02/2021,"34,093"
17/02/2021,"33,770"
18/02/2021,"31,131"
19/02/2021,"31,633"
20/02/2021,"25,209"
21/02/2021,"20,335"
22/02/2021,"31,226"
23/02/2021,"37,190"
24/02/2021,"35,850"
25/02/2021,"35,353"
26/02/2021,"31,018"
27/02/2021,"24,428"
28/02/2021,"20,914"
01/03/2021,"31,023"
02/03/2021,"39,597"
03/03/2021,"40,628"
04/03/2021,"40,697"
05/03/2021,"35,542"
06/03/2021,"25,050"
07/03/2021,"22,574"
08/03/2021,"30,557"
09/03/2021,"37,594"
10/03/2021,"40,718"
11/03/2021,"38,662"
12/03/2021,"36,014"
13/03/2021,"27,576"
14/03/2021,"24,317"
15/03/2021,"35,696"
16/03/2021,"41,580"
17/03/2021,"43,304"
18/03/2021,"41,294"
19/03/2021,"38,945"
20/03/2021,"26,470"
21/03/2021,"25,890"
22/03/2021,"38,419"
23/03/2021,"40,513"
24/03/2021,"41,921"
25/03/2021,"40,081"
26/03/2021,"35,506"
27/03/2021,"27,130"
28/03/2021,"23,014"
29/03/2021,"31,637"
30/03/2021,"39,127"
31/03/2021,"38,344"
01/04/2021,"32,481"
02/04/2021,"29,063"
03/04/2021,"23,451"
04/04/2021,"25,152"
05/04/2021,"30,713"
06/04/2021,"38,900"
07/04/2021,"40,107"
08/04/2021,"40,500"
09/04/2021,"36,967"
10/04/2021,"26,710"
11/04/2021,"25,146"
12/04/2021,"37,916"
13/04/2021,"41,185"
14/04/2021,"39,888"
15/04/2021,"42,466"
16/04/2021,"40,655"
17/04/2021,"25,583"
18/04/2021,"24,008"
19/04/2021,"35,065"
20/04/2021,"38,297"
21/04/2021,"38,395"
22/04/2021,"40,415"
23/04/2021,"38,122"
24/04/2021,"25,521"
25/04/2021,"25,360"
26/04/2021,"35,474"
27/04/2021,"38,824"
28/04/2021,"38,999"
29/04/2021,"42,030"
30/04/2021,"36,449"
01/05/2021,"23,983"
02/05/2021,"23,757"
03/05/2021,"34,066"
04/05/2021,"38,190"
05/05/2021,"49,797"
06/05/2021,"41,566"
07/05/2021,"37,910"
08/05/2021,"26,995"
09/05/2021,"23,712"
10/05/2021,"35,055"
11/05/2021,"40,083"
12/05/2021,"36,899"
13/05/2021,"33,966"
14/05/2021,"31,434"
15/05/2021,"24,971"
16/05/2021,"23,791"
17/05/2021,"32,847"
18/05/2021,"37,105"
19/05/2021,"38,259"
20/05/2021,"35,705"
21/05/2021,"35,493"
22/05/2021,"24,107"
23/05/2021,"21,922"
24/05/2021,"31,361"
25/05/2021,"39,140"
26/05/2021,"37,882"
27/05/2021,"38,934"
28/05/2021,"34,715"
29/05/2021,"27,132"
30/05/2021,"25,048"
31/05/2021,"31,420"
01/06/2021,"37,609"
02/06/2021,"38,605"
03/06/2021,"41,760"
04/06/2021,"39,170"
05/06/2021,"30,224"
06/06/2021,"32,314"
07/06/2021,"42,084"
08/06/2021,"34,202"
09/06/2021,"35,203"
10/06/2021,"34,940"
11/06/2021,"29,981"
12/06/2021,"21,156"
13/06/2021,"19,467"
14/06/2021,"29,507"
15/06/2021,"31,889"
16/06/2021,"32,998"
17/06/2021,"32,886"
18/06/2021,"30,525"
19/06/2021,"20,191"
20/06/2021,"17,069"
21/06/2021,"25,901"
22/06/2021,"30,756"
23/06/2021,"31,130"
24/06/2021,"30,092"
25/06/2021,"27,418"
26/06/2021,"19,112"
27/06/2021,"16,507"
28/06/2021,"27,846"
29/06/2021,"31,044"
30/06/2021,"27,677"
01/07/2021,"27,433"
02/07/2021,"24,895"
03/07/2021,"16,946"
04/07/2021,"15,271"
05/07/2021,"23,633"
06/07/2021,"24,705"
07/07/2021,"27,103"
08/07/2021,"25,846"
09/07/2021,"25,296"
10/07/2021,"17,397"
11/07/2021,"13,921"
12/07/2021,"23,656"
13/07/2021,"30,126"
14/07/2021,"28,025"
15/07/2021,"26,275"
16/07/2021,"24,313"
17/07/2021,"16,444"
18/07/2021,"14,945"
19/07/2021,"24,227"
20/07/2021,"27,899"
21/07/2021,"27,852"
22/07/2021,"26,384"
23/07/2021,"24,298"
24/07/2021,"16,966"
25/07/2021,"14,453"
26/07/2021,"22,569"
27/07/2021,"27,629"
28/07/2021,"28,529"
29/07/2021,"25,203"
30/07/2021,"23,413"
31/07/2021,"14,144"
01/08/2021,"11,954"
02/08/2021,"21,725"
03/08/2021,"24,484"
04/08/2021,"24,467"
05/08/2021,"25,924"
06/08/2021,"24,192"
07/08/2021,"15,947"
08/08/2021,"13,986"
09/08/2021,"22,087"
10/08/2021,"25,601"
11/08/2021,"27,047"
12/08/2021,"26,556"
13/08/2021,"25,560"
14/08/2021,"16,578"
15/08/2021,"13,219"
16/08/2021,"21,120"
17/08/2021,"26,898"
18/08/2021,"26,791"
19/08/2021,"26,622"
20/08/2021,"24,799"
21/08/2021,"17,204"
22/08/2021,"15,265"
23/08/2021,"23,332"
24/08/2021,"27,063"
25/08/2021,"26,960"
26/08/2021,"26,645"
27/08/2021,"23,697"
28/08/2021,"17,340"
29/08/2021,"14,167"
30/08/2021,"21,495"
31/08/2021,"25,909"
01/09/2021,"26,197"
02/09/2021,"25,770"
03/09/2021,"22,505"
04/09/2021,"16,447"
05/09/2021,"14,423"
06/09/2021,"21,826"
07/09/2021,"26,030"
08/09/2021,"28,403"
09/09/2021,"28,190"
10/09/2021,"25,306"
11/09/2021,"19,401"
12/09/2021,"15,947"
13/09/2021,"24,717"
14/09/2021,"29,213"
15/09/2021,"28,945"
16/09/2021,"27,128"
17/09/2021,"25,217"
18/09/2021,"18,488"
19/09/2021,"15,882"
20/09/2021,"23,706"
21/09/2021,"29,245"
22/09/2021,"29,268"
23/09/2021,"29,289"
24/09/2021,"24,425"
25/09/2021,"18,183"
26/09/2021,"16,355"
27/09/2021,"25,361"
28/09/2021,"30,381"
29/09/2021,"31,378"
30/09/2021,"28,890"
01/10/2021,"26,271"
02/10/2021,"18,510"
03/10/2021,"15,918"
04/10/2021,"24,426"
05/10/2021,"32,887"
06/10/2021,"33,318"
07/10/2021,"30,972"
08/10/2021,"30,107"
09/10/2021,"20,916"
10/10/2021,"18,189"
11/10/2021,"26,411"
12/10/2021,"34,184"
13/10/2021,"36,852"
14/10/2021,"38,756"
15/10/2021,"33,210"
16/10/2021,"21,395"
17/10/2021,"20,636"
18/10/2021,"28,567"
19/10/2021,"34,211"
20/10/2021,"34,293"
21/10/2021,"34,121"
22/10/2021,"31,573"
23/10/2021,"24,854"
24/10/2021,"18,766"
25/10/2021,"30,017"
26/10/2021,"33,105"
27/10/2021,"36,127"
28/10/2021,"32,118"
29/10/2021,"31,712"
30/10/2021,"23,172"
31/10/2021,"19,948"
01/11/2021,"24,923"
02/11/2021,"33,332"
03/11/2021,"32,954"
04/11/2021,"30,926"
05/11/2021,"30,449"
06/11/2021,"21,121"
07/11/2021,"18,379"
08/11/2021,"28,293"
09/11/2021,"36,863"
10/11/2021,"34,548"
11/11/2021,"35,354"
12/11/2021,"31,213"
13/11/2021,"22,906"
14/11/2021,"21,121"
15/11/2021,"31,577"
16/11/2021,"38,674"
17/11/2021,"36,388"
18/11/2021,"35,443"
19/11/2021,"33,953"
20/11/2021,"24,509"
21/11/2021,"19,960"
22/11/2021,"31,410"
23/11/2021,"39,742"
24/11/2021,"33,096"
25/11/2021,"31,967"
26/11/2021,"28,291"
27/11/2021,"23,089"
28/11/2021,"21,244"
29/11/2021,"30,050"
30/11/2021,"34,668"
01/12/2021,"33,821"
02/12/2021,"34,474"
03/12/2021,"31,661"
04/12/2021,"22,568"
05/12/2021,"19,562"
06/12/2021,"30,452"
07/12/2021,"35,473"
08/12/2021,"32,790"
09/12/2021,"33,528"
10/12/2021,"30,481"
11/12/2021,"21,976"
12/12/2021,"19,055"
13/12/2021,"30,889"
14/12/2021,"34,625"
15/12/2021,"30,917"
16/12/2021,"30,874"
17/12/2021,"28,168"
18/12/2021,"19,518"
19/12/2021,"16,487"
20/12/2021,"20,706"
21/12/2021,"24,239"
22/12/2021,"24,032"
23/12/2021,"21,283"
24/12/2021,"16,333"
25/12/2021,"9,643"
26/12/2021,"10,821"
27/12/2021,"16,681"
28/12/2021,"21,247"
29/12/2021,"19,696"
30/12/2021,"18,357"
31/12/2021,"15,008"
01/01/2022,"8,643"
02/01/2022,"11,831"
03/01/2022,"18,674"
04/01/2022,"25,184"
05/01/2022,"25,761"
06/01/2022,"23,864"
07/01/2022,"22,456"
08/01/2022,"17,662"
09/01/2022,"14,704"
10/01/2022,"21,096"
11/01/2022,"27,461"
12/01/2022,"29,252"
13/01/2022,"28,628"
14/01/2022,"29,374"
15/01/2022,"21,681"
16/01/2022,"17,736"
17/01/2022,"25,378"
18/01/2022,"29,979"
19/01/2022,"32,702"
20/01/2022,"31,497"
21/01/2022,"32,905"
22/01/2022,"27,341"
23/01/2022,"19,672"
24/01/2022,"27,780"
25/01/2022,"31,758"
26/01/2022,"29,425"
27/01/2022,"32,314"
28/01/2022,"31,928"
29/01/2022,"20,742"
30/01/2022,"15,866"
31/01/2022,"22,905"
01/02/2022,"28,494"
02/02/2022,"28,719"
03/02/2022,"31,299"
04/02/2022,"27,912"
05/02/2022,"21,204"
06/02/2022,"19,184"
07/02/2022,"27,619"
08/02/2022,"33,173"
09/02/2022,"33,519"
10/02/2022,"33,257"
11/02/2022,"33,323"
12/02/2022,"23,014"
13/02/2022,"20,097"
14/02/2022,"29,087"
15/02/2022,"36,910"
16/02/2022,"33,756"
17/02/2022,"33,164"
18/02/2022,"33,370"
19/02/2022,"24,670"
20/02/2022,"21,073"
21/02/2022,"30,805"
22/02/2022,"34,323"
23/02/2022,"34,733"
24/02/2022,"33,623"
25/02/2022,"30,304"
26/02/2022,"19,081"
27/02/2022,"18,454"
28/02/2022,"28,467"
01/03/2022,"34,323"
02/03/2022,"35,184"
03/03/2022,"37,371"
04/03/2022,"35,505"
05/03/2022,"22,461"
06/03/2022,"19,405"
07/03/2022,"31,440"
08/03/2022,"40,808"
09/03/2022,"43,456"
10/03/2022,"43,429"
11/03/2022,"40,827"
12/03/2022,"25,939"
13/03/2022,"21,583"
14/03/2022,"28,686"
15/03/2022,"34,109"
16/03/2022,"35,302"
17/03/2022,"37,181"
18/03/2022,"31,511"
19/03/2022,"22,153"
20/03/2022,"21,745"
21/03/2022,"29,475"
22/03/2022,"35,456"
23/03/2022,"37,047"
24/03/2022,"38,336"
25/03/2022,"34,521"
26/03/2022,"24,225"
27/03/2022,"21,915"
28/03/2022,"31,736"
29/03/2022,"39,375"
30/03/2022,"38,993"
31/03/2022,"39,766"
01/04/2022,"36,027"
02/04/2022,"26,074"
03/04/2022,"27,529"
04/04/2022,"36,987"
05/04/2022,"39,430"
06/04/2022,"42,077"
07/04/2022,"39,902"
08/04/2022,"36,858"
09/04/2022,"26,255"
10/04/2022,"24,699"
,"30,782,853"
